dkw-97     	ksk->     	U+3005	
dkw-92     	ksk-001070	U+303B	
dkw-34     	ksk-000470	U+3400	
dkw-39     	ksk-000580	U+3401	
dkw-補1   	ksk-000690	U+3402	
dkw-72     	ksk-152700	U+3404	3404_E0101
dkw-115    	ksk-001310	U+3405	
dkw-177    	ksk-002150	U+340C	
dkw-188    	ksk-002300	U+3416	
dkw-195    	ksk-002380	U+341C	
dkw-208    	ksk-002500	U+3421	
dkw-211    	ksk-002530	U+3424	
dkw-240    	ksk-002900	U+3428	
dkw-9606   	ksk-108660	U+3429	
dkw-296    	ksk-003630	U+342C	
dkw-300    	ksk-003690	U+342D	
dkw-329    	ksk->     	U+342E	342E_E0103
dkw-339    	ksk->     	U+342F	
dkw-369    	ksk-004550	U+3430	
dkw-372    	ksk-004580	U+3431	
dkw-383    	ksk-004900	U+3432	
dkw-389    	ksk-004740	U+3433	
dkw-391    	ksk-004760	U+3434	
dkw-402    	ksk-004980	U+3438	
dkw-406    	ksk-005020	U+3439	
dkw-437    	ksk-005300	U+343A	
dkw-447    	ksk-005400	U+343B	
dkw-449    	ksk-005420	U+343C	
dkw-465    	ksk-006540	U+3441	3441_E0100
dkw-469    	ksk-005700	U+3442	3442_E0100
dkw-480    	ksk-005810	U+3443	
dkw-498    	ksk-005990	U+3444	
dkw-519    	ksk-006200	U+3445	
dkw-544    	ksk-006580	U+3449	
dkw-559    	ksk-006730	U+344A	
dkw-565    	ksk-006780	U+344B	
dkw-584    	ksk-006960	U+344C	
dkw-600    	ksk-007120	U+344D	
dkw-608    	ksk-007200	U+344E	
dkw-620    	ksk-007310	U+3450	
dkw-628    	ksk-007380	U+3451	
dkw-631    	ksk-007570	U+3457	
dkw-638    	ksk-007630	U+3458	
dkw-651    	ksk-007760	U+3459	
dkw-656    	ksk-007810	U+345A	
dkw-671    	ksk-007960	U+345B	
dkw-687    	ksk-008120	U+345C	
dkw-693    	ksk-008170	U+345E	
dkw-704    	ksk-008270	U+345F	
dkw-729    	ksk-008650	U+3463	
dkw-825    	ksk-009720	U+3464	3464_E0101
dkw-731    	ksk-008670	U+3465	
dkw-764    	ksk-009000	U+3466	
dkw-815    	ksk->     	U+3467	
dkw-824    	ksk-009570	U+3468	
dkw-842    	ksk-009890	U+346E	
dkw-877    	ksk-010230	U+346F	
dkw-912    	ksk-010570	U+3471	
dkw-930    	ksk-010900	U+3473	
