
𠁠[dkw-00066]	且且且且/且且且且
𠂄[dkw-00105]	日/曷
𠪃[dkw-00159]	目/眉
𠃺[dkw-00201]	首/首
𥝀[dkw-00212]	禹/禹
𠄄[dkw-00217]	日/日
𠄊[dkw-00222]	日/日
𠄋[dkw-00223]	日/日
𠀥[dkw-00270]	日/旧
𠄵[dkw-00282]	日日/日日
𠅩[dkw-00323]	日/亯
𠆌[dkw-00334]	日白/亯白
𠆐[dkw-00336]	目目/䀠
𠆒[dkw-00338]	日/音
𠆚[dkw-00340]	目目/䀠
𠆝[dkw-00341]	日日/日日
𠉣[dkw-00728]	日/昏
𠉤[dkw-00744]	日/沓
𠉧[dkw-00752]	耳/取
𠊫[dkw-00846]	日/旬
𠊹[dkw-00903]	目/目
𠋧[dkw-00906]	日/恒
𠋩[dkw-00908]	日/㚆
𠋬[dkw-00911]	目/狊
𠋁[dkw-00926]	艹/𠕁
𠋶[dkw-00956]	日/冥
𠋹[dkw-00960]	日/旬
𠋽[dkw-00978]	廴/廷
𠌘[dkw-00991]	夏/夏
𠌗[dkw-00994]	貝/𧴮
𠌞[dkw-01000]	且/且
𬿂[dkw-01001]	門/閃
𠌯[dkw-01016]	禸/离
𠌰[dkw-01018]	/既
𠌹[dkw-01057]	日/𣥶
𠍬[dkw-01069]	日/旨
𠍚[dkw-01070]	白/百
𠍛[dkw-01071]	白/百
𠎹[dkw-01139]	𢜤/𢜤
𠎯[dkw-01142]	日/湯
𠎲[dkw-01145]	日/萅
𠎂[dkw-01148]	目/目
𠎡[dkw-01149]	頁/頁
𠎞[dkw-01150]	其/期
𠎻[dkw-01182]	目/遁
𠎼[dkw-01183]	/剽
𠏄[dkw-01200]	耳/聖
𠏤[dkw-01206]	貝/Z夅貝
𠏗[dkw-01211]	日/炅
𠏭[dkw-01228]	耳/聚
𠐆[dkw-01241]	/𡬽
𠐈[dkw-01247]	自/臱
𠐉[dkw-01250]	/節
𠐎[dkw-01265]	曼/蔓
𠐢[dkw-01272]	白/翫
𠐣[dkw-01273]	耳/憨
𠐧[dkw-01283]	目/瞢
𠐺[dkw-01287]	頁/頻
𠐱[dkw-01290]	日/早
𠐾[dkw-01295]	其頁/䫏
𠑍[dkw-01302]	夒/夒
𠑘[dkw-01316]	目頁/顛
𠑚[dkw-01319]	頁/頁
𠑡[dkw-01321]	門/門
𠑟[dkw-01322]	自/邊
𠑩[dkw-01325]	目目/矍
𠑤[dkw-01326]	日/𣍘
𠑪[dkw-01327]	頁/囂
𠑯[dkw-01331]	頁/頁
𠒮[dkw-01398]	日/昔
